Rank,Title,Year,Rating,Weight,Type,Min Players,Max Players,Community Player Count Min,Community Player Count Max,Community Best Player Count Min,Community Best Player Count Max,Playing Time Min,Playing Time Max,Age,Community Age,Designers,Artists,Categories
721,Three Sisters,2022,7.53049,2.6457,Strategy Game(441),1,4,1,4,2,3,30,60,14,10,Ben Pinchback; Matt Riddle,Marlies Barends; Beth Sobel,Dice; Farming
722,Kingdom Legacy: Feudal Kingdom,2024,8.12033,2.2824,"Thematic(87), Strategy Game(370)",1,1,1,1,1,1,360,480,14,12,Jonathan Fryxelius,Adobe Firefly,Adventure; Card Game; City Building; Civilization; Economic; Exploration; Medieval
723,Federation,2022,7.83002,3.75,Strategy Game(381),2,4,2,4,4,4,60,120,14,14,Dimitri Perrier; Matthieu Verdier,Miguel Coimbra,Political; Science Fiction
724,Beer & Bread,2022,7.32174,2.3568,"Strategy Game(468), Family Game(168)",2,2,2,2,2,2,30,45,10,10,Scott Almes,Michael Menzel,Card Game; Farming; Medieval
725,The Colonists,2016,7.53498,4.0683,Strategy Game(413),1,4,1,3,2,2,30,360,12,12,Tim Puls,Klemens Franz,Civilization
726,Golem,2021,7.51884,4.0157,Strategy Game(417),1,4,1,4,2,3,90,120,14,14,Flaminia Brasini; Virginio Gigli; Simone Luciani,Francesco Ciampi; Roberto Grasso (I),Fantasy; Novel-based; Renaissance
727,Paperback,2014,7.09347,2.0033,"Strategy Game(501), Family Game(198)",2,5,2,4,2,2,45,45,8,10,Tim Fowers,Ryan Goldsberry,Card Game; Print & Play; Word Game
728,Shikoku 1889,2004,7.9906,3.8407,Strategy Game(365),2,6,3,5,3,4,180,240,14,14,Yasutaka Ikeda,Karim Chakroun; Erik Frobom,Economic; Trains; Transportation
729,Whitehall Mystery,2017,7.51852,2.1295,Strategy Game(458),2,4,2,4,2,4,45,60,13,12,Gabriele Mari; Gianluca Santopietro,Alan D'Amico; Gianluca Santopietro,Bluffing; Deduction; Memory; Murder / Mystery; Post-Napoleonic
730,Undaunted: Stalingrad,2022,8.55874,2.6545,War Game(15),2,2,2,2,2,2,45,75,14,12,Trevor Benjamin; David Thompson (I),Roland MacDonald,Wargame; World War II
731,Automobile,2009,7.32707,3.5242,Strategy Game(437),3,5,3,5,5,5,120,120,12,12,Martin Wallace,Mike Atkinson; Czarnè; Peter Dennis; Klemens Franz,Economic; Industry / Manufacturing
732,Azul: Master Chocolatier,2022,7.8688,1.7722,"Abstract Game(9), Family Game(139)",2,4,2,4,2,3,30,45,8,8,Michael Kiesling,Nina Allen; Chris Quilliams,Abstract Strategy; Puzzle
733,Struggle of Empires,2004,7.52901,3.5895,Strategy Game(418),2,7,4,7,5,7,180,240,13,14,Martin Wallace,Peter Dennis; João Tereso,Age of Reason; Civilization; Fighting; Political; Territory Building
734,Yellow & Yangtze,2018,7.79905,3.0833,Strategy Game(388),2,4,2,4,4,4,90,90,14,12,Reiner Knizia,Vincent Dutrait,Ancient; Civilization; Territory Building
735,Mosaic: A Story of Civilization,2022,7.47031,3.0391,Strategy Game(433),2,6,3,5,4,4,120,120,14,12,Glenn Drover,Jared Blando; Hendrik Noack; Jacoby O'Connor; Grzegorz Pedrycz; Jessica Riola; Erica Rossi; Annie Stegg,Ancient; Civilization; Economic; Territory Building
736,Silver & Gold,2019,7.1677,1.2169,Family Game(184),2,4,2,4,3,4,20,20,8,8,Phil Walker-Harding,Oliver Freudenreich,Adventure; Exploration
737,Zombicide: Green Horde,2018,7.6744,2.4667,Thematic(149),1,6,1,4,3,3,60,60,14,12,Raphaël Guiton; Jean-Baptiste Lullien; Nicolas Raoult,Nicolas Fructus; Mathieu Harlaut; Jérémy Masson; Thierry Masson,Adventure; Fantasy; Fighting; Horror; Medieval; Miniatures; Zombies
738,The 7th Citadel,2024,8.37436,2.9756,Thematic(80),1,4,1,2,1,2,5,1000,14,14,Ludovic Roudy; Bruno Sautter,Ludovic Roudy,Adventure; Card Game; Exploration; Fantasy
739,Wandering Towers,2022,7.33755,1.5814,Family Game(172),1,6,3,6,4,5,30,30,8,6,Michael Kiesling; Wolfgang Kramer,Michael Menzel,Fantasy; Memory
740,Telestrations: 12 Player Party Pack,2011,7.73823,1.0577,Party Game(17),4,12,5,12,12,12,30,30,12,8,(Uncredited),(Uncredited); O'Neil Mabile,Humor; Party Game; Real-time
741,BattleCON: Devastation of Indines,2013,7.79548,3.1257,Strategy Game(411),1,5,2,5,2,2,45,45,10,10,"D. Brad Talton, Jr.",Fábio Fontes; Danny Hirajeta; Victoria Parker; Eunice Abigael Tiu,Card Game; Fantasy; Fighting
742,Francis Drake,2013,7.37292,2.9046,Strategy Game(444),3,5,4,5,5,5,90,120,14,12,Peter Hawes,Franz Vohwinkel,Bluffing; Exploration; Nautical; Pirates; Renaissance
743,Thebes,2007,7.12145,2.1549,Family Game(195),2,4,2,4,3,4,60,60,8,8,Peter Prinz,Michael Menzel,Ancient; Exploration; Travel
744,Star Wars: The Clone Wars,2022,7.52344,2.1615,Strategy Game(474),1,5,1,4,2,3,60,60,14,10,Alexandar Ortloff-Tang,Atha Kanaani,Movies / TV / Radio theme; Science Fiction
745,A Fake Artist Goes to New York,2011,7.11349,1.095,Party Game(43),5,10,5,10,6,7,20,20,8,8,Jun Sasaki,Jun Sasaki,Bluffing; Deduction; Party Game
746,Zombicide,2012,7.08787,2.535,Thematic(239),1,6,1,6,3,6,60,60,14,10,Raphaël Guiton; Jean-Baptiste Lullien; Nicolas Raoult,Miguel Coimbra; Nicolas Fructus; Édouard Guiton; Mathieu Harlaut; Eric Nouhaut,Fighting; Horror; Miniatures; Zombies
747,Cribbage,1630,7.11898,2.5217,"Abstract Game(56), Family Game(206)",2,6,2,4,2,2,30,30,10,8,Sir John Suckling,(Uncredited),Card Game; Number
748,A Game of Thrones,2003,7.16322,3.4488,"War Game(191), Strategy Game(516)",3,5,4,5,5,5,180,180,12,14,Christian T. Petersen; Kevin Wilson,Jacques Bredy; Thomas Denmark; Jason Engle; C. Michael Erickson; Mark Evans (I); Anders Finér; Thomas Gianni; John Goodenough; Cos Koniotis; John Matson; Scott Nicely; Roman Papsuev; Jim Pavelec; Alexander Petkov; J. P. Targete; Sedone Thongvilay; Timothy Truman,Bluffing; Fantasy; Negotiation; Novel-based; Political; Wargame
749,Living Forest,2021,7.22912,2.2107,Family Game(188),1,4,2,4,3,3,40,40,10,10,Aske Christiansen,Apolline Etienne,Animals; Card Game; Environmental; Fantasy; Mythology; Territory Building
750,Carson City,2009,7.20035,3.1804,Strategy Game(475),2,5,2,5,4,4,90,90,12,12,Xavier Georges,Alexandre Roche,American West; City Building; Economic
751,Compile: Main 1,2024,7.85915,2.3559,"Customizable(20), Strategy Game(431)",2,2,2,2,2,2,20,30,14,12,Michael Yang,Nolan Nasser; Allen Panakal,Card Game; Science Fiction
752,Conan,2016,7.63008,2.7717,Thematic(141),2,5,2,5,4,4,90,90,14,12,Frédéric Henry; Antoine Bauza; Pascal Bernard; Bruno Cathala; Croc; Ludovic Maublanc; Laurent Pouchain,Georges Clarenko; Xavier Collette; Viktor Dragosani; Xavier Gueniffey Durin; Yannick Hennebo; Kekai Kotaki; Paolo Parente; Stéphane Simon; Adrian Smith,Adventure; Fantasy; Fighting; Miniatures; Novel-based
753,The Downfall of Pompeii,2004,7.16236,1.8464,Family Game(197),2,4,2,4,4,4,45,45,10,8,Klaus-Jürgen Wrede,Oliver Freudenreich; Guido Hoffmann,Ancient
754,Formula D,2008,6.98859,1.9664,"Thematic(234), Family Game(222)",2,10,3,10,5,8,60,60,8,8,Laurent Lavaur; Eric Randall,Nicolas Caniaux; Stéphane Poinsot; Arnaud Simon-Laforet,Racing; Sports
755,Quantum,2013,7.22544,2.4797,Strategy Game(502),2,4,2,4,4,4,60,60,13,10,Eric Zimmerman,Georges Bouchelaghem; Kieran Yanner,Dice; Fighting; Science Fiction; Space Exploration
756,Nemesis: Retaliation,2025,8.79234,3.7105,Thematic(78),1,5,1,5,4,5,120,180,14,12,Adam Kwapiński,Jakub Dzikowski; Piotr Foksowicz; Patryk Jędraszek; Ewa Labak; Maciej Laszkiewicz; Pamela Łuniewska; Mateusz Michalski; Piotr Orleański,Exploration; Fighting; Horror; Miniatures; Science Fiction
757,The Battle of Five Armies,2014,7.82863,3.5988,"War Game(47), Thematic(116)",2,2,2,2,2,2,90,240,13,12,Roberto Di Meglio; Marco Maggi; Francesco Nepitello,Lucas Graciano; Jon Hodgson; Francesco Mattioli; Ben Wootten,Adventure; Fantasy; Fighting; Novel-based; Wargame
758,Betrayal at House on the Hill,2004,7.01195,2.3995,Thematic(298),3,6,3,6,5,6,60,60,12,12,Bruce Glassco; Rob Daviau; Bill McQuillan; Mike Selinker; Teeuwynn Woodruff,Dennis Crabapple McClain; Christopher Moeller; Peter Whitley,Adventure; Exploration; Horror
759,Merv: The Heart of the Silk Road,2020,7.48604,3.4375,Strategy Game(438),1,4,2,4,4,4,90,90,14,14,Fabio Lopiano,Ian O'Toole,Arabian; City Building; Economic; Medieval
760,Between Two Castles of Mad King Ludwig,2018,7.22354,2.1883,Family Game(191),2,7,3,7,6,6,45,60,10,10,Matthew O'Malley; Ben Rosset,Laura Bevon; Agnieszka Dabrowiecka; Bartłomiej Kordowski; Noah Adelman,Negotiation; Post-Napoleonic
761,Evolution,2014,7.00996,2.4253,Strategy Game(544),2,6,2,6,4,4,60,60,12,10,Dominic Crapuchettes; Dmitry Knorre; Sergey Machin,JJ Ariosa; Giorgio De Michele; Catherine Hamilton; Kurt Miller; Jacoby O'Connor,Animals; Card Game; Educational; Environmental; Prehistoric; Print & Play
762,Gears of War: The Board Game,2011,7.47156,2.8761,Thematic(150),1,4,1,4,4,4,60,180,13,12,Corey Konieczka,Ben Zweifel,Fighting; Miniatures; Science Fiction; Video Game Theme
763,Verdant,2022,7.27012,2.0726,Family Game(187),1,5,1,4,2,3,45,60,10,10,Molly Johnson; Robert Melvin; Aaron Mesburne; Kevin Russ; Shawn Stankewich,Beth Sobel,Card Game; Environmental; Puzzle
764,Dominant Species: Marine,2021,7.86343,3.6908,Strategy Game(395),2,4,2,4,4,4,90,150,14,12,Chad Jensen,Chad Jensen; Chechu Nieto,Animals; Environmental; Prehistoric
765,Bloodborne: The Board Game,2021,7.72537,3.0741,Thematic(145),1,4,1,3,1,2,45,75,14,12,Eric M. Lang; Michael Shinall,Arnaud Boudoiron; Mathieu Harlaut; Henning Ludvigsen; Aragorn Marks; Mike McVey; Adrian Prado; Edgar Ramos,Adventure; Exploration; Fantasy; Fighting; Horror; Miniatures; Video Game Theme
766,Can't Stop,1980,6.94261,1.1418,Family Game(213),2,4,2,4,3,3,30,30,9,8,Sid Sackson,Klemens Franz; Wanjin Gill; Heiko Günther; Kim Hong-Do; Gabriel Laulunen (II); Ronan Le Maître; Walter Pepperle; Sid Sackson; Monroy Gómez Verónica; Klaus Wilinski; Atelier Wilinski,Dice
767,Time's Up!,1999,7.28235,1.2023,Party Game(33),4,18,4,12,6,8,90,90,12,12,Peter Sarrett,John Vetter,Humor; Party Game
768,Cacao,2015,7.07273,1.823,Family Game(203),2,4,2,4,3,3,45,45,8,8,Phil Walker-Harding,Claus Stephan,Economic; Farming; Territory Building
769,Taluva,2006,7.13653,2.2497,"Abstract Game(35), Strategy Game(508)",2,4,2,4,2,2,45,45,8,10,Marcel-André Casasola Merkle,Manuel Casasola Merkle; Xavier Gueniffey Durin; Julien Le Faucheur; Marcel-André Casasola Merkle; 杨静雯 (Yang Jingwen); 谢有鑫 (Xie Youxin); 郭紫颖 (Guo Ziying); 陈杰 (Chen Jie),Abstract Strategy; Territory Building
770,Kingdom Builder,2011,6.93256,2.0714,"Strategy Game(552), Family Game(218)",2,4,2,4,4,4,45,45,8,8,Donald X. Vaccarino,Oliver Schlemmer,Medieval; Territory Building
771,Hammer of the Scots,2002,7.52424,2.9499,War Game(63),2,2,2,2,2,2,120,180,12,12,Tom Dalgliesh; Jerry Taylor,Karim Chakroun; Mark Churms; Tom Dalgliesh; Jerry Taylor,Medieval; Wargame
772,The Adventures of Robin Hood,2021,7.43036,1.8333,Thematic(171),2,4,1,4,N/A,N/A,60,60,10,8,Michael Menzel,Michael Menzel,Medieval
773,A Game of Thrones: The Card Game (Second Edition),2015,7.48819,3.5294,Customizable(17),2,4,2,4,2,2,60,120,14,14,Nate French; Eric M. Lang,Kaya; Serena Malyon; Amanda Sartor,Bluffing; Card Game; Collectible Components; Fantasy; Fighting; Negotiation; Novel-based; Political
774,Civilization: A New Dawn,2017,7.24163,3.2049,Strategy Game(507),2,4,2,4,4,4,60,120,14,12,James Kniffen,Anders Finér; Michael Silsby,Civilization; Exploration; Video Game Theme
775,Mare Nostrum: Empires,2016,7.51751,2.9864,"War Game(97), Strategy Game(457)",3,5,3,5,5,5,90,120,14,12,Serge Laget,Jean-Marie Minguez,Ancient; Civilization; Economic; Mythology; Wargame
776,Magic Maze,2017,6.93878,1.7475,"Party Game(59), Family Game(225)",1,8,2,6,4,4,15,15,8,8,Kasper Lapp,Gyom,Exploration; Fantasy; Maze; Real-time
777,Trails of Tucana,2019,7.36562,1.2519,Family Game(175),1,8,1,8,3,5,15,15,8,8,Kristian Amundsen Østby; Eilif Svensson,Gjermund Bohne,Exploration
778,Elder Sign,2011,6.96653,2.3441,Thematic(243),1,8,1,4,4,4,90,90,13,12,Richard Launius; Kevin Wilson,Dallas Mehlhoff,Adventure; Card Game; Dice; Fantasy; Fighting; Horror; Novel-based
779,Lord of the Rings: The Confrontation,2002,7.22233,2.15,Strategy Game(495),2,2,2,2,2,2,30,30,12,8,Reiner Knizia,John Howe,Adventure; Bluffing; Card Game; Deduction; Fantasy; Movies / TV / Radio theme; Novel-based
780,Disney Villainous: Wicked to the Core,2019,7.48967,2.3871,Family Game(186),2,3,2,3,2,3,40,60,10,10,Aaron Donogh; Prospero Hall; Brian Kirk,N/A,Card Game; Fantasy; Movies / TV / Radio theme; Mythology
781,Chronicles of Crime: 1400,2020,7.68377,1.9882,Thematic(143),1,4,1,3,2,2,60,90,12,12,David Cicurel; Wojciech Grajkowski,Barbara Gołębiewska; Mateusz Komada; Katarzyna Kosobucka; Mateusz Michalski,Adventure; Deduction; Medieval; Murder / Mystery
782,Inventions: Evolution of Ideas,2024,7.93046,4.5764,Strategy Game(409),1,4,1,4,3,3,60,150,14,14,Vital Lacerda,Ian O'Toole,Civilization; Industry / Manufacturing
783,Railroad Ink Challenge: Lush Green Edition,2021,7.57689,2.1143,"Strategy Game(471), Family Game(164)",1,4,1,4,2,2,15,30,8,10,Hjalmar Hach; Lorenzo Silva,Marta Tranquilli,Dice; Trains
784,Skyrise,2024,7.68753,2.2674,Strategy Game(434),2,4,2,4,4,4,30,90,14,10,Gavan Brown; Sébastien Pauchon; Adam Wyse,Andrew Bosley; Damien Mammoliti; James Van Niekerk,Territory Building
785,Twilight Inscription,2022,7.41416,3.2123,Strategy Game(473),1,8,1,6,3,4,90,120,14,12,James Kniffen,Anders Finér; Tomasz Jedruszek; Alex Kim; Stephen Somers,Science Fiction
786,Windmill Valley,2024,7.71965,3.069,Strategy Game(427),1,4,1,4,3,3,45,90,14,12,Dani Garcia,Pedro Codeço; Zbigniew Umgelter,Economic; Farming
787,Sub Terra,2017,7.36468,2.1348,Thematic(197),1,6,1,6,4,4,60,60,10,8,Tim Pinder,Diana Franco Campos,Adventure; Exploration; Horror; Maze
788,Star Wars: Destiny,2016,7.41449,2.4444,Customizable(33),2,2,2,2,2,2,30,30,10,8,Corey Konieczka; Lukas Litzsinger,Lucas Durham; Vlad Ricean,Card Game; Collectible Components; Dice; Fighting; Movies / TV / Radio theme; Science Fiction
789,The Bloody Inn,2015,7.07284,2.3468,Strategy Game(533),1,4,1,4,4,4,30,60,14,12,Nicolas Robert,Luis Francisco; Weberson Santiago,Card Game; Economic; Horror; Post-Napoleonic
790,Blood Bowl (2016 Edition),2016,7.97124,3.5574,Thematic(121),2,2,2,2,2,2,60,180,12,12,James M. Hewitt; Andy Hoare; Jervis Johnson,Wayne England; David Gallagher; Pete Knifton; Richard Wright,Collectible Components; Fantasy; Fighting; Miniatures; Sports
791,Speakeasy,2025,8.45959,4.3307,Strategy Game(378),1,4,1,4,3,3,50,180,14,14,Vital Lacerda,Ian O'Toole,Economic; Industry / Manufacturing; Mafia; Territory Building
792,Top Ten,2020,7.39806,1.0776,Party Game(28),4,9,4,9,6,8,30,30,14,14,Aurélien Picolet,Laura Michaud,Party Game
793,Mr. Jack,2006,6.95948,2.1696,Strategy Game(561),2,2,2,2,2,2,30,30,9,10,Bruno Cathala; Ludovic Maublanc,Pierô,Deduction; Murder / Mystery
794,Photosynthesis,2017,6.9328,2.2634,"Abstract Game(62), Family Game(231)",2,4,2,4,3,3,30,60,10,8,Hjalmar Hach,Sabrina Miramon,Abstract Strategy; Economic
795,One Night Ultimate Werewolf: Daybreak,2015,7.28095,1.4,Party Game(39),3,10,4,9,5,8,10,10,8,8,Ted Alspach; Akihisa Okui,Ted Alspach; Gus Batts,Bluffing; Card Game; Deduction; Horror; Party Game
796,Feudum,2018,7.58643,4.5888,Strategy Game(465),2,5,2,5,4,4,80,180,12,14,Mark K. Swanson,Justin Schultz,Adventure; Economic; Fantasy; Medieval
797,Babylonia,2019,7.63244,2.3981,Strategy Game(429),2,4,2,4,3,4,60,60,14,10,Reiner Knizia,Jonas Hassibi; David Prieto,Ancient
798,Zoo Vadis,2023,7.47493,2.1111,Strategy Game(479),3,7,4,7,5,5,20,40,10,10,Reiner Knizia,Kwanchai Moriya,Animals; Negotiation; Political
799,Trains,2012,7.11738,2.3798,Strategy Game(514),2,4,2,4,3,4,45,45,12,10,Hisashi Hayashi,Ryo Nyamo,Card Game; Territory Building; Trains; Transportation
800,Ticket to Ride: Rails & Sails,2016,7.43358,2.4771,Family Game(190),2,5,2,5,4,4,60,120,10,10,Alan R. Moon,Cyrille Daujean; Julien Delval; Alan R. Moon,Nautical; Trains
801,Caesar!: Seize Rome in 20 Minutes!,2021,7.5151,1.958,"War Game(134), Strategy Game(470)",1,2,1,2,2,2,20,20,14,10,Paolo Mori,Mariusz Gandzel; Paul Sizer,Ancient; Civil War; Wargame
802,Fort,2020,7.06343,2.4456,Strategy Game(546),2,4,2,4,3,3,20,40,10,10,Grant Rodiek,Kyle Ferrin,Card Game
803,Churchill,2015,7.66778,3.3825,"War Game(44), Strategy Game(459)",1,3,3,3,3,3,60,300,14,12,Mark Herman,Charles Kibler; Rodger B. MacGowan; Mark Simonitch,Political; Wargame; World War II
804,7 Wonders: Architects,2021,7.03476,1.3671,Family Game(215),2,7,2,7,4,4,25,25,8,6,Antoine Bauza,Etienne Hebinger,Ancient
805,Stationfall,2023,7.71294,3.9645,"Thematic(132), Strategy Game(446)",1,9,3,6,4,5,60,150,12,14,Matt Eklund,Madeleine Fjäll; Anne Isaksson; Josefin Strand,Deduction; Science Fiction
806,Moonrakers,2020,7.6934,2.4607,"Thematic(196), Strategy Game(505)",1,5,3,5,4,4,60,120,14,12,Max Anderson; Zac Dixon; Austin Harrison,Lunar Saloon,Card Game; Science Fiction
807,Unlock!: Timeless Adventures,2019,7.724,2.069,Thematic(113),1,6,1,3,2,2,60,90,10,10,Aristide Bruyant; Cyril Demaegd; Guillaume Montiage; Yohan Servais,Cyrille Bertin; Legruth; Pierre Santamaria,Card Game; Exploration; Novel-based; Puzzle; Real-time
808,Ascension: Deckbuilding Game,2010,7.04384,2.1375,Strategy Game(580),1,4,2,4,2,2,30,30,13,10,Robert Dougherty; John Fiorillo; Justin Gary; Brian M. Kibler,Eric Sabee,Card Game; Fantasy
809,The Magnificent,2019,7.48196,3.1354,Strategy Game(464),1,4,1,4,N/A,N/A,60,90,14,12,Kristian Amundsen Østby; Eilif Svensson,Martin Mottet,Dice; Economic
810,The Oracle of Delphi,2016,7.29612,3.0403,Strategy Game(483),2,4,2,4,3,4,70,100,12,12,Stefan Feld,Dennis Lohausen,Ancient; Mythology; Nautical
811,The Republic of Rome,1990,7.53779,4.3666,Strategy Game(492),1,6,4,6,5,6,300,300,14,16,Richard Berthold; Don Greenwood; Robert Haines,"Dave Dobyski; Charles Kibler; Kurt Miller; George I. Parrish, Jr.; Patrick Turner; Mark Poole",Ancient; Negotiation; Political; Wargame
812,Mexica,2002,7.23832,2.6785,Strategy Game(497),2,4,2,4,4,4,90,90,10,10,Michael Kiesling; Wolfgang Kramer,Paul Mafayon; Walter Pepperle; Christophe Swal; Franz Vohwinkel,Abstract Strategy; City Building; Territory Building
813,River of Gold,2024,7.57124,2.488,Strategy Game(469),2,4,2,4,3,3,60,90,14,12,Keith Piggott,Francesca Baerald,Economic; Fantasy; Travel
814,Escape: The Curse of the Temple,2012,6.94917,1.4788,Family Game(237),1,5,1,5,4,4,10,10,8,8,Kristian Amundsen Østby,Oliver Schlemmer,Action / Dexterity; Adventure; Dice; Electronic; Exploration; Real-time
815,Disney Villainous: Evil Comes Prepared,2019,7.48895,2.322,Family Game(201),2,3,2,3,3,3,40,60,10,10,Aaron Donogh; Prospero Hall; Peter Lee,N/A,Card Game; Fantasy; Movies / TV / Radio theme
816,Pax Renaissance,2016,7.96657,4.4667,"Thematic(127), Strategy Game(420)",2,4,2,4,3,3,60,120,12,14,Phil Eklund; Matt Eklund,Phil Eklund,Educational; Pike and Shot; Religious; Renaissance
817,Roll Player Adventures,2021,8.12698,2.3562,Thematic(97),1,4,1,4,2,2,90,150,14,12,Keith Matejka; James William Ryan; Peter Andrew Ryan,JJ Ariosa; Veronika Fedorova; Luis Francisco; Damien Mammoliti; Rainer Petter; Lucas Ribeiro; ShenFei,Adventure; Dice; Exploration; Fantasy
818,The Estates,2018,7.4266,2.3158,Strategy Game(472),2,5,3,5,4,4,40,60,10,10,Klaus Zoch,Daan van Paridon,City Building; Negotiation
819,Whistle Mountain,2020,7.519,3.0396,Strategy Game(466),2,4,2,4,3,3,60,90,14,12,Scott Caputo; Luke Laurie,Mila Harbar; Alanna Kelsey; T. B. (II),Industry / Manufacturing
820,Treasure Island,2018,7.19913,2.2,"Thematic(203), Family Game(207)",2,5,3,5,4,5,45,45,10,10,Marc Paquien,Vincent Dutrait,Bluffing; Deduction; Exploration; Novel-based; Pirates
821,Torres,1999,7.08045,2.8451,"Abstract Game(34), Strategy Game(537)",2,4,2,4,4,4,60,60,10,10,Michael Kiesling; Wolfgang Kramer,Alessandra Cimatoribus; Michael Menzel; Franz Vohwinkel,Abstract Strategy; Medieval
822,Shakespeare,2015,7.40131,3.0105,Strategy Game(482),1,4,2,4,3,3,20,90,13,12,Hervé Rigal,Arnaud Demaegd; Neriac,Renaissance
823,AuZtralia,2018,7.33084,2.8905,Strategy Game(496),1,4,1,4,3,3,30,120,13,12,Martin Wallace,James Colmer,Economic; Exploration; Fantasy; Horror
824,The Shipwreck Arcana,2017,7.40877,2.2405,Strategy Game(500),2,5,2,5,3,4,10,30,12,12,Kevin Bishop,Matthew Bishop,Card Game; Deduction; Fantasy; Math; Number; Print & Play
825,Maquis,2013,7.45342,2.1962,"Thematic(174), Strategy Game(510)",1,1,1,1,1,1,30,30,14,10,Jake Staines,Ilya Baranovsky; Jake Staines; Mark Tuck,Print & Play; Spies / Secret Agents; World War II
826,Oh My Goods!,2015,6.99335,2.2988,Strategy Game(574),2,4,2,4,2,2,30,30,10,10,Alexander Pfister,Klemens Franz,Card Game; Economic; Medieval
827,Snowdonia,2012,7.30368,2.9934,Strategy Game(486),1,5,1,5,4,4,30,90,10,12,Tony Boydell,Tony Boydell; Klemens Franz; Charlie Paull,Trains
828,Cyclades: Legendary Edition,2024,8.1144,2.8916,Strategy Game(440),2,6,3,6,4,5,60,90,13,12,Bruno Cathala; Ludovic Maublanc,Miguel Coimbra,Ancient; City Building; Civilization; Fighting; Mythology; Nautical
829,Tokaido,2012,6.91293,1.7423,Family Game(267),1,5,2,5,4,4,45,45,8,8,Antoine Bauza,Xavier Gueniffey Durin,Travel
830,Summoner Wars,2009,7.21769,2.3333,Customizable(36),2,4,2,4,2,2,30,60,9,8,Colby Dauch,JJ Ariosa; David Richards; Gary Simpson,Card Game; Fantasy; Fighting
831,Cuba,2007,7.1172,3.2632,Strategy Game(525),2,5,2,5,4,4,75,120,10,12,Michael Rieneck; Stefan Stadler,Michael Menzel; Michael Rieneck; Yvon-Cheryl Scholten; Stefan Stadler,Economic; Farming
832,Space Hulk: Death Angel – The Card Game,2010,7.0063,2.4151,Thematic(236),1,6,1,4,1,1,30,60,13,12,Corey Konieczka,Matt Bradbury; Kevin Chin; Víctor Pérez Corbella; Daniel Xiao; John Gravato; Zach Graves; Nick Ingeneri; Héctor Ortiz; Brad Rigney; Silver Saaremäel,Card Game; Fighting; Science Fiction
833,Witchstone,2021,7.49617,2.7664,Strategy Game(478),2,4,2,4,3,3,60,90,12,12,Martino Chiacchiera; Reiner Knizia,Mariusz Gandzel,Fantasy
834,Tiny Epic Dungeons,2021,7.45388,3.108,"Thematic(211), Strategy Game(567)",1,4,1,4,1,2,30,60,14,12,Scott Almes,Ian Rosenthaler; Nikoletta Vaszi,Adventure; Dice; Exploration; Fantasy; Fighting
835,Ashes Reborn: Rise of the Phoenixborn,2015,7.30345,2.9133,Customizable(37),2,4,2,2,2,2,30,120,14,12,Isaac Vega,Thander Lin; David Richards; Fernanda Suárez,Card Game; Fantasy; Fighting
836,Belfort,2011,7.19908,3.0455,Strategy Game(517),2,5,3,5,4,4,120,120,12,12,Jay Cormier; Sen-Foong Lim,Josh Cappel; Jay Cormier; Satya Hody; Sen-Foong Lim; Hans-Georg Schneider,City Building; Economic; Fantasy
837,Chicago 1875: City of the Big Shoulders,2019,7.75086,4.0114,Strategy Game(439),1,4,2,4,4,4,120,180,14,14,Raymond Chandler III,Emily R. Dearring; Andreas Resch,Economic; Educational; Industry / Manufacturing
838,D-Day at Omaha Beach,2009,8.29614,3.4805,War Game(4),1,1,1,1,1,1,120,480,12,14,John H. Butterfield,Joe Youst,Wargame; World War II
839,Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,2015,7.70569,2.8475,Customizable(14),2,2,2,2,2,2,30,45,14,10,Alex Davy; James Kniffen; Corey Konieczka; Jay Little; Adam Sadler; Brady Sadler,N/A,Aviation / Flight; Collectible Components; Miniatures; Movies / TV / Radio theme; Science Fiction; Wargame
840,Onirim (Second Edition),2014,7.03622,1.608,"Strategy Game(586), Family Game(233)",1,2,1,2,1,1,15,15,10,8,Shadi Torbey,Philippe Guérin; Élise Plessis,Card Game; Exploration; Fantasy
841,Carcassonne: The Castle,2003,7.10464,1.9852,"Strategy Game(545), Family Game(217)",2,2,2,2,2,2,30,45,8,8,Reiner Knizia; Klaus-Jürgen Wrede,Roman Kucharski; Christof Tisch,City Building; Medieval
842,Love Letter: Batman,2015,7.27466,1.1884,Family Game(208),2,4,3,4,4,4,20,20,10,8,Seiji Kanai,N/A,Card Game; Comic Book / Strip; Deduction
843,Yamataï,2017,7.1695,2.9676,Strategy Game(531),2,4,2,4,2,2,40,80,13,12,Bruno Cathala; Marc Paquien,Jérémie Fleury,Mythology
844,KeyForge: Call of the Archons,2018,7.06803,2.485,Customizable(46),2,2,2,2,2,2,15,45,14,10,Richard Garfield,N/A,Card Game; Collectible Components; Fantasy; Fighting
845,Luna,2010,7.27616,3.3251,Strategy Game(499),1,4,1,4,4,4,60,100,12,12,Stefan Feld,Klemens Franz; Scott Hartman,Fantasy
846,Smart10,2017,7.44788,1.1765,"Party Game(31), Family Game(192)",2,8,2,6,3,4,20,120,10,12,Christoph Reiser; Arno Steinwender,(Uncredited); Aleksi Michelsson,Party Game; Trivia
847,Arkwright,2014,7.79055,4.5869,Strategy Game(443),2,4,2,4,4,4,120,240,12,14,Stefan Risthaus,DavidSchneiderArt; Harald Lieske,Economic; Industry / Manufacturing
